task,llm_model,attn_method,predictors,dependent,feature_name,coefficient,t,std_error,p_value,rsquared,rsquared_adj,rmse,f_pvalue,perm_imp_mean,perm_imp_std,wilcoxon_baseline_stat,wilcoxon_baseline_p,wilcoxon_pca_vs_gaze_stat,wilcoxon_pca_vs_gaze_p
task3,bert,none,text_only,GD,role,0.0018811309325392647,0.9527384997163852,0.001974446223280834,0.3407576680768547,0.2251551375274362,0.22326296448110516,0.03870982754266192,0.0,2.7146749255628488e-06,2.4701023459821345e-05,,,,
task3,bert,none,text_only,TRT,const,0.04974999953882664,7.819474196487229,0.006362320315754225,6.139122754484877e-15,0.23981140481974528,0.23795502241393274,0.04103375443910399,0.0,0.0,0.0,,,644121.0,0.10530680964543916
task3,bert,none,text_only,TRT,frequency,-0.00551215427789658,-7.469275895243739,0.0007379770616595634,9.110899757503585e-14,0.23981140481974528,0.23795502241393274,0.04103375443910399,0.0,0.0016157763781739637,0.0001515394600371393,,,,
task3,bert,none,text_only,TRT,length,0.0070666034574976225,24.925591331208,0.0002835079562846682,4.1986957364500476e-131,0.23981140481974528,0.23795502241393274,0.04103375443910399,0.0,0.007437749780840749,0.00031359035068099725,,,,
task3,bert,none,text_only,TRT,surprisal,-0.0002731814835135494,-3.007274367224612,9.084022611666999e-05,0.002646005071477604,0.23981140481974528,0.23795502241393274,0.04103375443910399,0.0,0.00012303218872146833,4.570421166419956e-05,,,,
task3,bert,none,text_only,TRT,role,0.0004183802927823643,0.19822523073821088,0.0021106308779375543,0.8428749873812973,0.23981140481974528,0.23795502241393274,0.04103375443910399,0.0,-3.931730294865626e-06,5.215147306590795e-06,,,,
task3,bert,none,text_only,FFD,const,0.04433807577219151,7.666936873070678,0.005783023455941631,2.0166638701656763e-14,0.19456920510678977,0.1926023411387966,0.03812925338081479,2.7381948309448727e-306,0.0,0.0,,,628566.0,0.015166114230980857
task3,bert,none,text_only,FFD,frequency,-0.0035603742041060518,-5.307785445234493,0.0006707833692303209,1.1460320369838633e-07,0.19456920510678977,0.1926023411387966,0.03812925338081479,2.7381948309448727e-306,0.0006813803752052393,0.00010435591903362997,,,,
task3,bert,none,text_only,FFD,length,0.00540223653140653,20.963747516013775,0.0002576942184253971,1.6646172184055297e-94,0.19456920510678977,0.1926023411387966,0.03812925338081479,2.7381948309448727e-306,0.0048835256911385055,0.0002757718970554038,,,,
task3,bert,none,text_only,FFD,surprisal,-0.00026943676151058556,-3.263166393689729,8.25691150876091e-05,0.0011073857237277216,0.19456920510678977,0.1926023411387966,0.03812925338081479,2.7381948309448727e-306,0.00016932686853233237,4.776254686877006e-05,,,,
task3,bert,none,text_only,FFD,role,0.0048940490145245995,2.551036094640294,0.0019184554169213665,0.010762812821591625,0.19456920510678977,0.1926023411387966,0.03812925338081479,2.7381948309448727e-306,8.988603868601286e-05,6.51596104620488e-05,,,,
task3,bert,none,text_only,pca,const,-0.0067565062537504415,-0.5142761124103891,0.013137896337597717,0.6070762761339629,0.22455380188371232,0.22266016037427083,0.08599740870992567,0.0,0.0,0.0,,,,
task3,bert,none,text_only,pca,frequency,-0.009857403796936667,-6.468586405300063,0.0015238884014689767,1.060496242843888e-10,0.22455380188371232,0.22266016037427083,0.08599740870992567,0.0,0.0024576365577965763,0.00027768080884992046,,,,
task3,bert,none,text_only,pca,length,0.013961263917705866,23.847847451084643,0.0005854307792911885,1.2772957708710142e-120,0.22455380188371232,0.22266016037427083,0.08599740870992567,0.0,0.014150093359078015,0.0006246835397174588,,,,
task3,bert,none,text_only,pca,surprisal,-0.0006171985694884865,-3.2903068651362317,0.00018758085333263653,0.001006062294007021,0.22455380188371232,0.22266016037427083,0.08599740870992567,0.0,0.00036729473593601905,0.00011015113779318617,,,,
task3,bert,none,text_only,pca,role,0.004973479266752215,1.1411368335799645,0.004358354861922614,0.2538546216890976,0.22455380188371232,0.22266016037427083,0.08599740870992567,0.0,1.8457810646414775e-05,6.407069686766958e-05,,,,
task3,bert,raw,text+raw,nFixations,const,0.01850795673060339,3.226650008977601,0.0057359666152536435,0.0012586341373621013,0.3538517850174806,0.35187821075058223,0.037024059094952634,0.0,0.0,0.0,493178.0,2.8669371418962693e-21,666211.0,0.637532891026521
task3,bert,raw,text+raw,nFixations,frequency,-0.0031296143197002196,-4.743632984039029,0.0006597505182695371,2.1435901887121617e-06,0.3538517850174806,0.35187821075058223,0.037024059094952634,0.0,0.0005846351453137257,6.399077534977313e-05,,,,
task3,bert,raw,text+raw,nFixations,length,0.005712892680519085,22.37143177305983,0.0002553655366572772,6.828358841585233e-107,0.3538517850174806,0.35187821075058223,0.037024059094952634,0.0,0.005462509473604728,0.00021365549378037272,,,,
task3,bert,raw,text+raw,nFixations,surprisal,-0.0007711983276930779,-9.421683537196213,8.185355883037629e-05,6.01746064703532e-21,0.3538517850174806,0.35187821075058223,0.037024059094952634,0.0,0.0010283828552722697,0.00013340816709663986,,,,
task3,bert,raw,text+raw,nFixations,role,-0.010461162548007899,-5.48960150646911,0.0019056324098716735,4.179233240868295e-08,0.3538517850174806,0.35187821075058223,0.037024059094952634,0.0,0.0007131677144223955,0.00010312178830531452,,,,
task3,bert,raw,text+raw,nFixations,attention_layer_0,1.7988586228801446,34.52009847751871,0.052110471934245936,4.2473038330880275e-240,0.3538517850174806,0.35187821075058223,0.037024059094952634,0.0,0.009310290286492835,0.0004683804367168833,,,,
task3,bert,raw,text+raw,meanPupilSize,const,0.013732549158586497,2.6762114886070925,0.005131339289532001,0.0074644643262451234,0.3336208112457042,0.33158544414504976,0.03406311601892418,0.0,0.0,0.0,477060.0,6.655872604536929e-25,621911.0,0.0055304607410667644
task3,bert,raw,text+raw,meanPupilSize,frequency,-0.0012421397636339028,-2.1045856653633526,0.0005902063214040992,0.03536532169044967,0.3336208112457042,0.33158544414504976,0.03406311601892418,0.0,8.842765778857495e-05,2.6712494620724178e-05,,,,
task3,bert,raw,text+raw,meanPupilSize,length,0.004110330588994614,17.992451909862304,0.00022844749618264063,1.092064112663963e-70,0.3336208112457042,0.33158544414504976,0.03406311601892418,0.0,0.0032384604729624824,0.00017569238232606626,,,,
task3,bert,raw,text+raw,meanPupilSize,surprisal,-0.0007471566029077714,-10.203518488906724,7.32253882540695e-05,2.900007553566474e-24,0.3336208112457042,0.33158544414504976,0.03406311601892418,0.0,0.0011603446462676158,0.00012848219403072185,,,,
task3,bert,raw,text+raw,meanPupilSize,role,-0.0061675375694730345,-3.6178333394116478,0.0017047600015969873,0.00029931342936353317,0.3336208112457042,0.33158544414504976,0.03406311601892418,0.0,0.0002656326313866961,6.486859482922495e-05,,,,
task3,bert,raw,text+raw,meanPupilSize,attention_layer_0,1.7605064246345,37.76491324024861,0.046617515402053396,1.3495129265922066e-282,0.3336208112457042,0.33158544414504976,0.03406311601892418,0.0,0.009805466329921055,0.0004564954672115555,,,,
task3,bert,raw,text+raw,GD,const,0.015172826890470668,2.7704127964673106,0.00547673866862667,0.005614279937901961,0.35937223603170076,0.35741552325232295,0.03496195813407525,0.0,0.0,0.0,475368.0,2.6556912921801538e-25,611734.0,0.0009548041329999052
task3,bert,raw,text+raw,GD,frequency,-0.002714729545933303,-4.309545061819493,0.0006299341362002472,1.6598057107214332e-05,0.35937223603170076,0.35741552325232295,0.03496195813407525,0.0,0.00039062250691035487,4.936715747744626e-05,,,,
task3,bert,raw,text+raw,GD,length,0.00487572458120113,19.99684480505569,0.00024382469478227025,2.1091076136905604e-86,0.35937223603170076,0.35741552325232295,0.03496195813407525,0.0,0.004369996200378792,0.0002093130218796826,,,,
task3,bert,raw,text+raw,GD,surprisal,-0.0005930096066655457,-7.5876756719597,7.815431659223604e-05,3.708667056637529e-14,0.35937223603170076,0.35741552325232295,0.03496195813407525,0.0,0.0007523667912877092,0.00010540083570673146,,,,
task3,bert,raw,text+raw,GD,role,-0.009053406872259848,-4.975738005403035,0.0018195103645788765,6.665486108240016e-07,0.35937223603170076,0.35741552325232295,0.03496195813407525,0.0,0.0005846372033035972,9.302505273774876e-05,,,,
task3,bert,raw,text+raw,GD,attention_layer_0,1.8448436577275165,37.07824397645682,0.049755421505368956,2.1560568086618084e-273,0.35937223603170076,0.35741552325232295,0.03496195813407525,0.0,0.01028997754817508,0.0004587627616684829,,,,
task3,bert,raw,text+raw,TRT,const,0.01853430894054591,3.127780371828332,0.005925706647270682,0.0017690264502680055,0.3561055943855731,0.354138904081314,0.037804197643565005,0.0,0.0,0.0,488856.0,3.254965925747134e-22,645200.0,0.11792238717061904
task3,bert,raw,text+raw,TRT,frequency,-0.003571394696775651,-5.239919034092245,0.0006815744047835948,1.656553537044048e-07,0.3561055943855731,0.354138904081314,0.037804197643565005,0.0,0.0006983614478292876,7.303961159255637e-05,,,,
task3,bert,raw,text+raw,TRT,length,0.005730555657676054,21.722055359938985,0.0002638127729038322,4.3146144448886795e-101,0.3561055943855731,0.354138904081314,0.037804197643565005,0.0,0.005365952618418319,0.0002507671167689742,,,,
task3,bert,raw,text+raw,TRT,surprisal,-0.0007086050397620949,-8.379790043479893,8.456119259377423e-05,6.423382644298248e-17,0.3561055943855731,0.354138904081314,0.037804197643565005,0.0,0.0008233236103905424,0.00011931612102955413,,,,
task3,bert,raw,text+raw,TRT,role,-0.010566344924925955,-5.367253652737558,0.0019686688218166493,8.26833628198957e-08,0.3561055943855731,0.354138904081314,0.037804197643565005,0.0,0.0007551750432569712,0.00010562044478398512,,,,
task3,bert,raw,text+raw,TRT,attention_layer_0,1.8533111331760586,34.42625611550076,0.05383423416586931,6.5863606016934735e-239,0.3561055943855731,0.354138904081314,0.037804197643565005,0.0,0.009532763683533627,0.00047441273422503213,,,,
task3,bert,raw,text+raw,FFD,const,0.013805071128216067,2.6004376921056105,0.005308749050256193,0.009331369703024213,0.3372545083599937,0.3352302399066033,0.03445416772297228,0.0,0.0,0.0,472960.0,7.088432259440505e-26,660803.0,0.4518565558408033
task3,bert,raw,text+raw,FFD,frequency,-0.0016620589604744147,-2.721956025243545,0.0006106119808918306,0.006506812542340759,0.3372545083599937,0.3352302399066033,0.03445416772297228,0.0,0.00012821812832258876,3.3804733389229605e-05,,,,
task3,bert,raw,text+raw,FFD,length,0.004095408045645849,17.3280348195282,0.00023634578810001247,8.286447762832558e-66,0.3372545083599937,0.3352302399066033,0.03445416772297228,0.0,0.0031471399011765043,0.00019183088111753292,,,,
task3,bert,raw,text+raw,FFD,surprisal,-0.0006953376213097723,-9.178518335188791,7.575706621884414e-05,5.75087421948285e-20,0.3372545083599937,0.3352302399066033,0.03445416772297228,0.0,0.0009818549457339392,0.00011682910553542965,,,,
